Open,High,Low,Close,Volume
173.14999389648438,182.0,155.00999450683594,178.8699951171875,2378200
179.75,194.99000549316406,176.57000732421875,189.30999755859375,561000
193.67999267578125,218.9600067138672,189.91400146484375,205.0399932861328,441600
210.9499969482422,217.75999450683594,198.02999877929688,210.44000244140625,221400
214.32000732421875,214.99000549316406,205.0,214.1199951171875,379500
211.83999633789062,219.86000061035156,206.52499389648438,219.86000061035156,100500
219.8000030517578,237.5,218.16000366210938,232.50999450683594,173200
235.0,235.39599609375,208.9080047607422,211.24000549316406,202700
210.77000427246094,220.0,210.77000427246094,219.00999450683594,124600
223.5800018310547,234.5,222.10299682617188,233.25,164200
235.0,235.67999267578125,225.4499969482422,232.52000427246094,130000
233.5,233.5,227.89999389648438,232.3699951171875,144000
234.0,235.0,228.60000610351562,232.33999633789062,125700
233.0,233.35499572753906,228.00100708007812,231.02999877929688,130800
231.4600067138672,231.4600067138672,220.70399475097656,223.58999633789062,85200
222.0,230.5749969482422,218.02000427246094,229.9499969482422,139900
232.6999969482422,234.99000549316406,227.08999633789062,229.22999572753906,29000
234.99000549316406,256.1600036621094,232.00999450683594,232.47000122070312,202700
243.0800018310547,243.0800018310547,210.3000030517578,215.5500030517578,131700
214.57000732421875,225.2100067138672,203.3800048828125,220.44000244140625,108900
221.5399932861328,235.49899291992188,220.47000122070312,232.0399932861328,80700
234.14999389648438,237.86500549316406,225.6699981689453,231.19000244140625,37800
231.1999969482422,232.81300354003906,227.1699981689453,229.3000030517578,18600
230.0,230.0,222.875,224.0500030517578,32800
221.0800018310547,224.02999877929688,208.02999877929688,209.0,140800
210.1999969482422,213.3350067138672,195.64999389648438,198.97999572753906,103800
194.0,210.5,188.82000732421875,210.47999572753906,104900
210.0,210.0,201.35000610351562,203.9199981689453,44900
204.32000732421875,210.4949951171875,204.32000732421875,208.0800018310547,13800
210.9499969482422,210.9499969482422,203.41700744628906,205.38999938964844,19100
202.2899932861328,206.0,201.947998046875,204.92999267578125,26900
208.83999633789062,213.8800048828125,205.30999755859375,213.6300048828125,34400
215.38999938964844,215.5500030517578,210.39500427246094,214.10000610351562,53400
214.0,224.33999633789062,212.4499969482422,223.14999389648438,47000
222.27999877929688,225.65499877929688,218.20199584960938,220.6699981689453,38900
219.39999389648438,224.89999389648438,219.39999389648438,221.2899932861328,26000
222.5,222.5,211.8300018310547,214.08999633789062,32300
214.2100067138672,214.2100067138672,204.5,204.5,51200
206.89999389648438,215.9499969482422,203.27000427246094,211.91000366210938,25700
215.61000061035156,225.0,215.0,225.0,58600
224.66000366210938,226.8800048828125,220.01499938964844,226.0,55300
222.89999389648438,225.35000610351562,218.82000732421875,221.5,32200
220.88999938964844,234.78900146484375,219.86500549316406,229.8300018310547,86600
232.00999450683594,244.52999877929688,228.9949951171875,241.0800018310547,106300
245.83999633789062,248.74000549316406,236.02999877929688,248.7100067138672,48500
