Open,High,Low,Close,Volume
220.1300048828125,221.91000366210938,213.74000549316406,219.16000366210938,86291900
220.00999450683594,224.25999450683594,217.1199951171875,219.57000732421875,62988800
221.39999389648438,222.82000732421875,218.92999267578125,221.3300018310547,49632800
221.58999633789062,222.0800018310547,217.89999389648438,220.88999938964844,50791800
220.7100067138672,222.27999877929688,219.22999572753906,220.6999969482422,49611900
218.89999389648438,220.47999572753906,215.72999572753906,218.85000610351562,47329000
217.30999755859375,218.22000122070312,215.25999450683594,217.97000122070312,43268700
217.1300048828125,218.72000122070312,212.11000061035156,213.64999389648438,80938900
244.67999267578125,262.1199951171875,242.64999389648438,260.4800109863281,204491900
256.010009765625,269.489990234375,255.32000732421875,269.19000244140625,161611900
270.0,273.5400085449219,262.239990234375,262.510009765625,107653600
264.510009765625,264.9800109863281,255.50999450683594,259.5199890136719,80521800
258.0400085449219,263.3500061035156,255.82000732421875,257.54998779296875,53993600
257.989990234375,259.75,249.25,249.85000610351562,66575300
252.0399932861328,254.0,246.6300048828125,248.97999572753906,57544800
244.55999755859375,248.89999389648438,238.8800048828125,242.83999633789062,68802400
247.33999633789062,255.27999877929688,246.2100067138672,251.44000244140625,69282500
284.6700134277344,289.5899963378906,275.6199951171875,288.5299987792969,165228700
288.8900146484375,299.75,285.5199890136719,296.9100036621094,117309200
299.1400146484375,328.7099914550781,297.6600036621094,321.2200012207031,204782800
346.29998779296875,358.6400146484375,336.0,350.0,210521600
342.739990234375,345.8399963378906,323.30999755859375,328.489990234375,155726000
335.8500061035156,344.6000061035156,322.5,330.239990234375,125405600
327.69000244140625,329.9800109863281,310.3699951171875,311.17999267578125,120726100
310.57000732421875,324.67999267578125,309.2200012207031,320.7200012207031,114440300
340.7300109863281,348.54998779296875,330.010009765625,338.739990234375,126547500
335.760009765625,347.3800048828125,332.75,346.0,88852500
345.0,346.6000061035156,334.29998779296875,342.0299987792969,66340700
343.80999755859375,347.989990234375,335.2799987792969,339.6400146484375,58011700
341.0899963378906,361.5299987792969,337.70001220703125,352.55999755859375,89140700
360.1400146484375,361.92999267578125,338.20001220703125,338.5899963378906,95890900
341.0,346.9599914550781,335.6600036621094,338.2300109863281,62295900
341.79998779296875,342.54998779296875,326.5899963378906,332.8900146484375,57896400
336.0799865722656,345.45001220703125,334.6499938964844,345.1600036621094,37167600
352.3800048828125,360.0,351.1499938964844,357.0899963378906,77986500
351.79998779296875,355.69000244140625,348.20001220703125,351.4200134277344,58267200
353.0,358.1000061035156,348.6000061035156,357.92999267578125,50810900
