Open,High,Low,Close,Volume
583.8200073242188,601.6199951171875,491.30999755859375,556.8900146484375,34583700
556.0999755859375,575.8099975585938,453.9200134277344,478.1000061035156,33179000
474.69000244140625,501.1099853515625,406.4700012207031,467.4700012207031,42326700
491.0400085449219,510.7300109863281,424.1700134277344,475.5199890136719,30667000
474.92999267578125,506.45001220703125,407.5,446.6600036621094,41145200
438.989990234375,521.5800170898438,429.510009765625,434.6199951171875,31222800
429.80999755859375,482.69000244140625,367.7099914550781,377.6099853515625,34403400
380.0799865722656,433.3900146484375,337.0,420.739990234375,47875000
427.0799865722656,430.239990234375,351.25,416.29998779296875,32462800
416.1600036621094,432.1700134277344,371.4700012207031,388.2699890136719,25724800
395.0799865722656,477.7300109863281,353.6199951171875,455.1300048828125,41806900
456.19000244140625,494.6199951171875,423.760009765625,432.1700134277344,28504400
431.94000244140625,465.4100036621094,405.3699951171875,464.7200012207031,31087600
461.5299987792969,485.5799865722656,427.67999267578125,459.4200134277344,33950800
456.30999755859375,556.5800170898438,428.9700012207031,544.780029296875,38369500
534.7999877929688,576.6799926757812,526.1099853515625,561.969970703125,27698800
560.8499755859375,614.3599853515625,548.4299926757812,583.0,26244500
578.239990234375,596.4600219726562,532.5399780273438,588.8300170898438,22973700
593.510009765625,607.9000244140625,528.0,558.9600219726562,19055000
554.75,584.8400268554688,527.239990234375,581.8499755859375,27851000
581.0,688.8900146484375,580.4400024414062,685.739990234375,26084000
